Ice age (GT4),Dust Conc (ppm)
4509,0.025
4552,0.018
4690,0.015
5259,0.033
5674,0.028
6486,0.013
6874,0.02
6924,0.018
7267,0.038
7697,0.023
7745,0.065
8091,0.038
9107,0.04
9298,0.05
10265,0.018
10515,0.03
10861,0.033
11053,0.045
11749,0.05
11973,0.025
12569,0.075
13055,0.075
13237,0.04
13828,0.033
14404,0.085
14713,0.163
14775,0.18
15032,0.17
16426,0.638
16502,0.773
16653,0.32
17544,1.098
18446,0.22
18870,1.21
20528,0.973
20777,0.71
20859,1.735
22023,0.733
22629,1.213
23412,1.745
24619,1.573
24781,0.668
24941,0.45
25697,0.968
26849,1.48
26933,1.353
28420,0.51
29006,0.415
29085,0.365
29249,0.783
31130,0.708
33209,0.495
35185,0.09
35261,0.113
37066,0.49
37148,0.603
37313,0.293
39185,0.203
39263,0.22
41191,0.188
41268,0.21
43073,0.238
43150,0.185
45055,0.19
45139,0.468
45225,0.375
47295,0.28
49350,0.128
49430,0.208
51306,0.073
51384,0.15
51549,0.295
53355,0.19
53436,0.165
53606,0.155
55377,0.278
55457,0.205
57289,0.21
57362,0.145
59262,0.833
59345,0.468
61406,0.475
61496,0.378
63688,0.98
63776,0.708
66045,1.1
66144,0.748
66708,0.425
68424,1.285
68520,0.86
69413,0.328
70243,0.305
70683,0.16
70766,0.063
71264,0.085
72070,0.098
72753,0.155
72840,0.053
73706,0.19
74322,0.205
74903,0.063
74985,0.103
76854,0.073
76933,0.075
78937,0.178
79020,0.233
80869,0.28
80943,0.193
82352,0.078
82647,0.188
82721,0.223
84378,0.068
84448,0.058
86016,0.065
86083,0.078
87766,0.09
87837,0.09
89597,0.19
89672,0.208
91480,0.113
91547,0.12
93254,0.27
93325,0.238
95000,0.07
95070,0.103
96722,0.048
96791,0.043
96861,0.053
98505,0.075
98572,0.068
98640,0.005
100232,0.17
100301,0.14
101868,0.133
101930,0.11
103481,0.248
103553,0.18
103625,0.315
103697,0.258
105271,0.058
105342,0.058
105413,0.058
107048,0.128
107121,0.098
107194,0.085
109121,0.093
109206,0.05
109292,0.065
111159,0.07
111239,0.043
111319,0.01
113195,0.05
113272,0.078
113348,0.043
113891,0.068
114562,0.058
115077,0.035
115150,0.08
115617,0.028
116296,0.048
116762,0.033
116827,0.028
116891,0.073
117326,0.068
117514,0.015
118012,0.035
118314,0.038
118376,0.058
118735,0.11
119345,0.045
119831,0.04
119894,0.038
119955,0.073
120379,0.053
120959,0.085
121314,0.02
121373,0.013
121951,0.018
122345,0.213
122742,0.055
122801,0.053
123268,0.06
123658,0.04
124209,0.12
124599,0.048
124877,0.043
125271,0.028
126103,0.078
126904,0.048
126955,0.06
127006,0.26
127810,0.043
128161,0.028
128210,0.038
128259,0.045
128501,0.018
129428,0.135
129486,0.115
129545,0.02
130410,0.035
130759,0.015
130819,0.113
130880,0.038
130942,0.14
131190,0.045
131439,0.033
131641,0.023
131908,0.02
132264,0.03
132477,0.048
132548,0.045
132619,0.078
132691,0.055
132763,0.038
132836,0.055
133065,0.025
133142,0.06
133528,0.06
134091,0.105
134266,0.095
134447,0.5
134538,0.12
135308,0.298
135408,0.095
135507,0.105
136103,0.16
136411,0.123
136614,0.245
136923,0.883
137026,0.86
137446,0.158
137549,0.183
138532,0.288
138644,0.235
138868,0.553
139308,0.338
139643,0.848
139756,0.498
140319,0.405
140542,0.553
140876,0.688
141434,0.245
141547,0.438
141661,0.303
142218,0.565
142440,1.01
142551,0.753
143117,0.625
143675,0.74
144237,0.46
145226,0.973
145337,0.673
145449,0.738
146242,0.528
147459,0.423
148141,0.77
148471,0.158
149679,0.265
150333,0.55
150868,0.418
151502,0.325
151611,0.318
152513,0.313
153523,0.871
154094,0.305
155029,1.177
155983,1.228
157080,0.671
157909,0.715
158815,0.426
159651,0.13
160626,0.237
161545,0.728
162440,0.238
163318,0.22
164136,0.36
165148,0.618
165522,0.092
166284,0.271
167414,0.115
168391,0.154
169201,0.073
170221,0.151
171040,0.284
172004,0.307
173027,0.025
173988,0.105
174920,0.142
175746,0.232
176630,0.391
178417,0.341
180546,0.202
180546,0.067
181502,0.138
182694,0.236
183525,0.561
184641,0.715
185788,0.761
187067,0.274
189030,0.147
190469,0.05
190705,0.055
191156,0.016
191895,0.114
192382,0.067
193152,0.142
193816,0.141
194444,0.052
194926,0.104
195676,0.113
196202,0.221
197086,0.067
197462,0.111
198075,0.114
198426,0.074
199452,0.047
199682,0.052
199904,0.063
200124,0.048
200345,0.021
201635,0.03
202826,0.029
203155,0.024
203200,0.024
203527,0.023
203592,0.021
203980,0.02
204278,0.029
204325,0.028
204973,0.022
205386,0.032
205458,0.024
205760,0.032
206232,0.025
206287,0.028
206681,0.031
207072,0.042
207463,0.041
207857,0.023
208061,0.029
208244,0.023
208623,0.031
209364,0.028
209864,0.021
210466,0.023
210941,0.032
211057,0.015
211651,0.022
211892,0.04
212237,0.029
212700,0.03
212928,0.022
214297,0.031
214639,0.018
214978,0.06
215432,0.022
216003,0.036
216003,0.054
216369,0.029
216839,0.032
217989,0.022
218602,0.035
219000,0.082
219393,0.041
219660,0.053
220226,0.093
220967,0.077
221272,0.069
222426,0.119
223135,0.138
223681,0.194
224240,0.158
224959,0.029
225469,0.085
225971,0.069
226653,0.036
227958,0.076
228488,0.07
229052,0.045
229802,0.073
230161,0.031
230691,0.076
232206,0.036
232206,0.043
232682,0.039
232838,0.007
233146,0.033
233146,0.055
233453,0.056
234896,0.096
235329,0.038
236970,0.058
237338,0.033
237690,0.083
237912,0.079
238578,0.012
238932,0.015
239298,0.014
239698,0.011
240141,0.029
240614,0.014
241118,0.06
241118,0.067
241674,0.029
242267,0.083
242850,0.039
243406,0.023
243999,0.06
244424,0.131
244424,0.052
244639,0.156
245283,0.104
246574,0.378
248545,0.191
249219,0.116
250501,0.078
251104,0.169
252422,0.208
253075,0.12
253763,0.115
255056,0.219
255711,0.053
256387,0.223
257827,0.439
259340,1.012
260380,0.64
261179,0.942
261973,0.167
263043,0.554
264383,0.791
265707,0.558
268050,0.093
269532,0.168
270507,0.077
271920,0.017
273037,0.085
273918,0.123
275216,0.086
277120,0.045
278456,0.08
279632,0.146
281175,0.184
282253,0.14
284925,0.204
286639,0.041
287726,0.059
288530,0.059
290214,0.066
291830,0.054
293076,0.042
293893,0.063
295035,0.045
295862,0.09
298327,0.257
299383,0.097
300397,0.078
301156,0.053
301917,0.032
302691,0.013
302937,0.029
303657,0.022
305288,0.021
306200,0.111
307131,0.102
308031,0.026
308907,0.02
309483,0.009
310330,0.036
311411,0.022
312208,0.019
314543,0.021
315297,0.045
316524,0.02
316765,0.027
317255,0.044
317999,0.037
319708,0.019
321875,0.032
322513,0.014
324218,0.008
325629,0.012
326761,0.01
327730,0.046
329848,0.117
331050,0.142
334306,0.586
334805,1.035
336766,0.395
338233,0.366
339706,0.439
341187,0.164
342594,0.034
346523,0.277
349620,0.401
355187,0.38
358466,0.24
360071,0.155
364333,0.076
365962,0.268
367507,0.058
369034,0.091
371188,0.224
372991,0.208
374711,0.071
376381,0.085
379524,0.019
381227,0.125
382318,0.033
388065,0.122
391928,0.114
393908,0.157
395792,0.023
397482,0.023
399134,0.019
400228,0.021
403501,0.033
405617,0.016
410200,0.018
410683,0.012
417095,0.013
420527,0.015
421761,0.012
